net,length_um
_1336_,29.48
_4232_,29.48
_3176_,29.4
_1963_,29.38
_3125_,29.38
_3247_,29.36
_4316_,29.36
_0834_,29.34
_0566_,29.28
_2232_,29.28
_1915_,29.26
_1165_,29.24
_2174_,29.2
_1327_,29.14
_0792_,29.12
_3043_,29.12
_3058_,29.12
_3736_,29.12
_1078_,29.1
_0543_,29.08
_3089_,29.02
_1518_,28.96
_3970_,28.96
_1974_,28.92
_3650_,28.9
_1690_,28.82
_1972_,28.76
_1880_,28.74
_1893_,28.74
_2564_,28.69
_1126_,28.66
_1461_,28.66
_3122_,28.64
_4326_,28.62
_1884_,28.58
_3740_,28.5
_0440_,28.48
_2327_,28.44
_2106_,28.42
_1929_,28.4
_3658_,28.4
_2248_,28.32
_3980_,28.32
_0399_,28.3
_0465_,28.23
_2096_,28.2
_2461_,28.2
_3251_,28.12
_1498_,28.1
_2171_,28.1
_1515_,28.04
_1803_,28.03
_2452_,28.02
_0910_,27.94
_2049_,27.94
_2595_,27.94
_1640_,27.92
_1703_,27.86
_1401_,27.76
_3003_,27.66
_0746_,27.64
_2295_,27.64
_2729_,27.62
_1682_,27.56
_2602_,27.54
_1225_,27.5
_3931_,27.48
_1265_,27.465
_3721_,27.44
_1462_,27.42
_0907_,27.36
_2127_,27.36
_0458_,27.32
_3106_,27.32
_1325_,27.24
_2364_,27.22
_1046_,27.16
_2382_,27.16
_1278_,27.14
_0586_,27.1
_1616_,27.1
_2027_,27.1
_4261_,27.08
_2740_,27.06
_2727_,27.02
_1305_,27
_1563_,27
_0368_,26.96
_1542_,26.96
_2215_,26.96
_2039_,26.94
_3319_,26.94
_1731_,26.92
_1702_,26.9
_0852_,26.895
_3927_,26.88
imem.address\[3\],26.74
_0374_,26.72
_3458_,26.7
_0990_,26.62
_4271_,26.6
_3299_,26.54
_1421_,26.52
_3041_,26.52
_2140_,26.46
_1906_,26.44
_1746_,26.42
_0336_,26.4
_1107_,26.36
_0456_,26.32
_0475_,26.22
_2033_,26.14
_3273_,26.1
_2249_,26.095
_2358_,26.06
_3789_,26.06
_3806_,26.06
_0944_,26.02
_3305_,26.02
_0951_,25.92
_3069_,25.88
_1745_,25.8
_1901_,25.78
_0227_,25.74
_1466_,25.72
_2454_,25.7
_2786_,25.68
_3984_,25.66
_0488_,25.64
_3327_,25.6
_3541_,25.6
_1853_,25.56
_3082_,25.54
_3605_,25.52
_0707_,25.5
_2539_,25.48
_2321_,25.44
_2010_,25.42
_3976_,25.36
_1863_,25.34
_2099_,25.32
_4214_,25.28
_1894_,25.27
_0669_,25.2
_4201_,25.2
_1741_,25.18
_1369_,25.16
_4290_,25.14
_2184_,25.1
_4288_,25.08
_0851_,25.06
_2669_,25.035
_3033_,24.74
_0352_,24.72
_0250_,24.7
_0705_,24.68
_3123_,24.66
_4284_,24.66
_2638_,24.6
_3381_,24.6
_0382_,24.56
_2736_,24.56
_2787_,24.56
_3233_,24.54
_1786_,24.515
_2853_,24.5
_1860_,24.48
_4226_,24.42
_4273_,24.4
_3564_,24.38
_0582_,24.36
_3741_,24.32
_2928_,24.3
_3107_,24.3
_1277_,24.26
_0435_,24.16
_1989_,24.1
_3171_,24.06
_3446_,24.06
_0936_,24
_3825_,23.945
_0938_,23.94
